Rank,Country,Crime Index,Safety Index
1,Venezuela,85.7,14.3
2,Guatemala,84.87,15.13
3,Trinidad And Tobago,83.65,16.35
4,South Africa,76.68,23.32
5,Kenya,74.3,25.7
6,Honduras,72.97,27.03
7,Uzbekistan,72.27,27.73
8,Puerto Rico,70.53,29.47
9,Malaysia,67.75,32.25
10,Costa Rica,66.69,33.31
11,Uganda,66.02,33.98
12,Brazil,62.62,37.38
13,Syria,62.34,37.66
14,Pakistan,61.52,38.48
15,Paraguay,60.68,39.32
16,Nigeria,60.62,39.38
17,Kyrgyzstan,60.05,39.95
18,Ecuador,59.74,40.26
19,Bangladesh,59.43,40.57
20,Argentina,59.29,40.71
21,Dominican Republic,58.07,41.93
22,Peru,58,42
23,Eritrea,57.81,42.19
24,Iraq,56.25,43.75
25,Mexico,56.23,43.77
26,Iran,56.15,43.85
27,Philippines,54.94,45.06
28,Monaco,54.69,45.31
29,Colombia,54.16,45.84
30,Jamaica,53.91,46.09
31,United States,53.44,46.56
32,Vietnam,53.02,46.98
33,Kazakhstan,52.86,47.14
34,Zimbabwe,52.86,47.14
35,Russia,52.39,47.61
36,Angola,52.34,47.66
37,Algeria,51.82,48.18
38,Mauritius,51.51,48.49
39,France,51.13,48.87
40,El Salvador,50.57,49.43
41,Greece,49.76,50.24
42,Italy,49.46,50.54
43,Ukraine,48.95,51.05
44,Egypt,48.67,51.33
45,Panama,48.46,51.54
46,Israel,48.26,51.74
47,Lebanon,47.31,52.69
48,Albania,47.05,52.95
49,Mongolia,46.87,53.13
50,Bolivia,46.35,53.65
51,Latvia,45.71,54.29
52,Tunisia,45.46,54.54
53,Uruguay,44.97,55.03
54,Ireland,44.95,55.05
55,Australia,44.44,55.56
56,Laos,44.27,55.73
57,Jordan,43.43,56.57
58,Bosnia And Herzegovina,43.26,56.74
59,Belgium,42.95,57.05
60,India,42.12,57.88
61,Nicaragua,41.93,58.07
62,New Zealand,41.79,58.21
63,Moldova,41.67,58.33
64,Bulgaria,41.47,58.53
65,Serbia,41.23,58.77
66,Armenia,41.07,58.93
67,Thailand,40.53,59.47
68,Indonesia,40.49,59.51
69,Chile,40.28,59.72
70,United Kingdom,39.78,60.22
71,Sri Lanka,39.69,60.31
72,Poland,38.93,61.07
73,Nepal,38.15,61.85
74,Netherlands,37.53,62.47
75,Namibia,37.34,62.66
76,Azerbaijan,36.69,63.31
77,Turkey,35.2,64.8
78,Slovakia,35.16,64.84
79,Canada,34.98,65.02
80,Portugal,34.96,65.04
81,Lithuania,34.61,65.39
82,Morocco,34.32,65.68
83,Czech Republic,34.12,65.88
84,Spain,34.12,65.88
85,Cyprus,34.02,65.98
86,Hungary,33.72,66.28
87,Cambodia,32.81,67.19
88,Finland,32.69,67.31
89,Croatia,32.25,67.75
90,Sweden,31.81,68.19
91,Saudi Arabia,31.74,68.26
92,Denmark,30.74,69.26
93,Austria,30.44,69.56
94,Brunei,30.08,69.92
95,Romania,30.02,69.98
96,Macedonia,29.65,70.35
97,Slovenia,29.6,70.4
98,Switzerland,27.58,72.42
99,Kuwait,26.95,73.05
100,China,26.87,73.13
101,Belarus,26.82,73.18
102,Montenegro,26.56,73.44
103,Qatar,26.17,73.83
104,Ethiopia,26.04,73.96
105,Norway,25.61,74.39
106,Estonia,24.23,75.77
107,Germany,23.86,76.14
108,Iceland,22.32,77.68
109,Singapore,19.98,80.02
110,Bahrain,19.79,80.21
111,Georgia,19.57,80.43
112,Luxembourg,18.75,81.25
113,Malta,18.54,81.46
114,United Arab Emirates,18.01,81.99
115,South Korea,17.4,82.6
116,Hong Kong,16.57,83.43
117,Taiwan,16.26,83.74
118,Japan,13.11,86.89