Rank,Country,Crime Index,Safety Index
1,South Sudan,85.32,14.68
2,Venezuela,84.07,15.93
3,Guatemala,79.34,20.66
4,South Africa,78.44,21.56
5,Afghanistan,77.34,22.66
6,Guyana,76.88,23.12
7,Nigeria,76.6,23.4
8,Trinidad And Tobago,75.28,24.72
9,Honduras,74.91,25.09
10,Bahamas,72.93,27.07
11,Kenya,72.61,27.39
12,Jamaica,71.91,28.09
13,Mongolia,70.25,29.75
14,Yemen,70.09,29.91
15,Malaysia,69.97,30.03
16,Papua New Guinea,69.89,30.11
17,Libya,69.64,30.36
18,El Salvador,69.44,30.56
19,Brazil,68.95,31.05
20,Maldives,68.75,31.25
21,Angola,67.97,32.03
22,Dominican Republic,67.72,32.28
23,Puerto Rico,67.06,32.94
24,Bolivia,65.6,34.4
25,Somalia,65.6,34.4
26,Kyrgyzstan,65.07,34.93
27,Cameroon,64.84,35.16
28,Bangladesh,64.25,35.75
29,Costa Rica,63.05,36.95
30,Argentina,62.4,37.6
31,Haiti,62.31,37.69
32,Belize,62.27,37.73
33,Zimbabwe,62.18,37.82
34,Tanzania,61.8,38.2
35,Pakistan,61.16,38.84
36,Mozambique,60.47,39.53
37,Egypt,60.14,39.86
38,Uganda,59.41,40.59
39,Uzbekistan,58.13,41.87
40,Peru,57.63,42.37
41,Colombia,56.88,43.12
42,Syria,56.32,43.68
43,Namibia,55.59,44.41
44,Paraguay,55.57,44.43
45,Iraq,54.06,45.94
46,Ecuador,54.04,45.96
47,Mexico,53.84,46.16
48,Vietnam,52.29,47.71
49,Lebanon,51.98,48.02
50,Algeria,51.34,48.66
51,Russia,51.33,48.67
52,Iran,50.9,49.1
53,Panama,50.08,49.92
54,United States,50.01,49.99
55,Sri Lanka,49.96,50.04
56,Myanmar,49.77,50.23
57,France,49.71,50.29
58,Moldova,49.7,50.3
59,Albania,49.6,50.4
60,Fiji,49.44,50.56
61,Ghana,49.42,50.58
62,Ukraine,49.36,50.64
63,Nepal,49.18,50.82
64,Ireland,49.07,50.93
65,Mauritius,48.53,51.47
66,Morocco,47.55,52.45
67,Italy,47.5,52.5
68,Indonesia,47.22,52.78
69,Uruguay,47.17,52.83
70,Botswana,46.77,53.23
71,Kosovo (Disputed Territory),46.76,53.24
72,Kazakhstan,46.68,53.32
73,India,46.55,53.45
74,Bosnia And Herzegovina,45.82,54.18
75,Jordan,45.51,54.49
76,Chile,45.01,54.99
77,Barbados,44.38,55.62
78,Cambodia,44.06,55.94
79,Timor-Leste,43.75,56.25
80,Kuwait,43.51,56.49
81,Bulgaria,43.45,56.55
82,Serbia,43.43,56.57
83,Philippines,43.11,56.89
84,Tunisia,42.67,57.33
85,Nicaragua,42.37,57.63
86,Australia,42.16,57.84
87,Sweden,42.09,57.91
88,Belgium,42.04,57.96
89,United Kingdom,42.01,57.99
90,Hungary,41.76,58.24
91,China,41.75,58.25
92,Zambia,41.72,58.28
93,Greece,41.35,58.65
94,Bermuda,40.29,59.71
95,Bahrain,39.97,60.03
96,New Zealand,39.76,60.24
97,Canada,37.46,62.54
98,Latvia,37.22,62.78
99,Thailand,37.06,62.94
100,Lithuania,36.69,63.31
101,Turkey,36.4,63.6
102,Laos,36.24,63.76
103,Macedonia,36.06,63.94
104,Portugal,35.84,64.16
105,Luxembourg,35.74,64.26
106,Sudan,35.68,64.32
107,Azerbaijan,35.47,64.53
108,Netherlands,35.41,64.59
109,Palestinian Territory,35.39,64.61
110,Ethiopia,35.07,64.93
111,Montenegro,34.89,65.11
112,Saudi Arabia,34.57,65.43
113,Oman,34.43,65.57
114,Spain,33.85,66.15
115,Slovakia,33.34,66.66
116,Iceland,33.32,66.68
117,Poland,32.99,67.01
118,Czech Republic,32.89,67.11
119,Cyprus,31.56,68.44
120,Norway,31.19,68.81
121,Belarus,30.5,69.5
122,Israel,30.4,69.6
123,Brunei,30.35,69.65
124,Romania,29.72,70.28
125,Finland,29.55,70.45
126,Croatia,29.34,70.66
127,Armenia,29.14,70.86
128,Slovenia,28.71,71.29
129,Germany,28.49,71.51
130,Estonia,28.13,71.87
131,Monaco,27.94,72.06
132,Switzerland,26.77,73.23
133,Austria,26.25,73.75
134,Malta,25.91,74.09
135,Denmark,25.71,74.29
136,United Arab Emirates,22.22,77.78
137,Georgia,22.01,77.99
138,Taiwan,21.88,78.12
139,Qatar,21.04,78.96
140,Japan,20.24,79.76
141,Hong Kong,19.24,80.76
142,Rwanda,19.16,80.84
143,Faroe Islands,18.53,81.47
144,South Korea,17.99,82.01
145,Turkmenistan,17.86,82.14
146,Singapore,17.59,82.41
147,Isle Of Man,15.1,84.9